Cu_Si_8_11_19

08.11.2019 11:56
Sekunden	Kelvin	Ohm	Ohm	Ohm
Zeit	Temperatur	R_Probe_1	R_Thermometer	R_Probe_2
8.450278E+2	9.502692E+1	5.354800E-1	2.797180E+1	9.548000E+2
8.460274E+2	9.512854E+1	5.366300E-1	2.801620E+1	9.530000E+2
8.470278E+2	9.522970E+1	5.376600E-1	2.806040E+1	9.507000E+2
8.480278E+2	9.533201E+1	5.386800E-1	2.810510E+1	9.474000E+2
8.490277E+2	9.543821E+1	5.398600E-1	2.815150E+1	9.448000E+2
8.500282E+2	9.554052E+1	5.408900E-1	2.819620E+1	9.432000E+2
8.510275E+2	9.564718E+1	5.419000E-1	2.824280E+1	9.416000E+2
8.520280E+2	9.575910E+1	5.430600E-1	2.829170E+1	9.395000E+2
8.530281E+2	9.586370E+1	5.442600E-1	2.833740E+1	9.367000E+2
8.540277E+2	9.597173E+1	5.454300E-1	2.838460E+1	9.345000E+2
8.550275E+2	9.608113E+1	5.466400E-1	2.843240E+1	9.312000E+2
8.560280E+2	9.618916E+1	5.477200E-1	2.847960E+1	9.288000E+2
8.570281E+2	9.630246E+1	5.487100E-1	2.852910E+1	9.247000E+2
8.580280E+2	9.641598E+1	5.500000E-1	2.857870E+1	9.223000E+2
8.590275E+2	9.652768E+1	5.512500E-1	2.862750E+1	9.196000E+2
8.600280E+2	9.664051E+1	5.524200E-1	2.867680E+1	9.156000E+2
8.610275E+2	9.675541E+1	5.536600E-1	2.872700E+1	9.128000E+2
8.620277E+2	9.687260E+1	5.548900E-1	2.877820E+1	9.090000E+2
8.630279E+2	9.698772E+1	5.560300E-1	2.882850E+1	9.057000E+2
8.640275E+2	9.710308E+1	5.570500E-1	2.887890E+1	9.022000E+2
8.650274E+2	9.722164E+1	5.584200E-1	2.893070E+1	8.984000E+2
8.660275E+2	9.734157E+1	5.597700E-1	2.898310E+1	8.949000E+2
8.670274E+2	9.746082E+1	5.609300E-1	2.903520E+1	8.906000E+2
8.680271E+2	9.757800E+1	5.623600E-1	2.908640E+1	8.879000E+2
8.690274E+2	9.769679E+1	5.637100E-1	2.913830E+1	8.829000E+2
8.700272E+2	9.782016E+1	5.650400E-1	2.919220E+1	8.786000E+2
8.710278E+2	9.794238E+1	5.662000E-1	2.924560E+1	8.739000E+2
8.720276E+2	9.806506E+1	5.676600E-1	2.929920E+1	8.700000E+2
8.730272E+2	9.819140E+1	5.690400E-1	2.935440E+1	8.663000E+2
8.740276E+2	9.831568E+1	5.704400E-1	2.940870E+1	8.629000E+2
8.750270E+2	9.843492E+1	5.717300E-1	2.946080E+1	8.595000E+2
8.760271E+2	9.856241E+1	5.732200E-1	2.951650E+1	8.567000E+2
8.770273E+2	9.868921E+1	5.747100E-1	2.957190E+1	8.520000E+2
8.780272E+2	9.881601E+1	5.759600E-1	2.962730E+1	8.501000E+2
8.790271E+2	9.894510E+1	5.771400E-1	2.968370E+1	8.482000E+2
